ID,Repository Version,Language,Original Text,Translate,Translation Error
194127,589,en,Hello,Olá,
194128,589,en,hi,oi,
194129,589,en,sup,salve,
194130,589,en,morning,dia,
194131,589,en,afternoon,tarde,
194132,589,en,good night,boa noite,
194133,589,en,Which missions I can get today?,Que missões tem para hoje?,
194134,589,en,quest list,Lista de missões,
194135,589,en,about my mission,sobre minha missão,
196047,589,en,hello there,hello there,
196048,589,en,Pleasure to meet you,Prazer em te conhecer,
196049,589,en,how can I help today,Como posso te ajudar hj?,
196050,589,en,hello boss,Opa chefe,
196051,589,en,what to do today?,O que fazer hoje?,
196052,589,en,may I help you?,Como posso te ajudar?,
196053,589,en,give me a task,Me da uma missão ai,
196054,589,en,available tasks,Missões disponíveis,
196055,589,en,about that quest,Sobre essa missão,
196056,589,en,how can I help you,Como que eu posso te ajudar?,
196057,589,en,current options,Opções disponíveis,
