ID,Repository Version,Original Text,Translate
196077,669,Hello,Olá
196076,669,hi,oi
196075,669,sup,salve
196074,669,morning,dia
196073,669,afternoon,tarde
196072,669,good night,boa noite
196071,669,Which missions I can get today?,Que missões tem para hoje?
196070,669,quest list,Lista de missões
196069,669,about my mission,sobre minha missão
196068,669,hello there,hello there
196067,669,Pleasure to meet you,Prazer em te conhecer
196066,669,how can I help today,Como posso te ajudar hj?
196065,669,hello boss,Opa chefe
196064,669,what to do today?,O que fazer hoje?
196063,669,may I help you?,Como posso te ajudar?
196062,669,give me a task,Me da uma missão ai
196061,669,available tasks,Missões disponíveis
196060,669,about that quest,Sobre essa missão
196059,669,how can I help you,Como que eu posso te ajudar?
196058,669,current options,Opções disponíveis
